"tmpID","PredictedSpend"
1007,341.909389815112
1740,198.293512197076
5827,306.795528171054
3183,337.646659192781
2917,342.685834094973
2980,334.059731779324
5724,313.621287483278
5261,328.647543206731
2812,348.699825334288
1251,341.085087236872
268,351.463823078844
428,293.315822469918
2551,360.153608525417
2056,210.47867597406
3180,376.200450373426
4958,347.713717204956
4,200.542752932515
2895,362.359839382043
5678,228.384997142388
2087,326.595025020008
5257,356.477939641717
4325,357.021886388551
2300,337.11810703322
4680,349.629364021628
4912,287.712446855189
173,190.226627544365
5679,332.867114355308
2415,343.38324311312
1510,95.9569533296336
762,321.539401248851
1229,336.451242552652
4380,326.299427696488
5600,361.209759815557
3119,341.325945098049
2113,243.585581987191
3138,327.315860132566
2661,333.982000090004
4124,306.849009356152
5552,205.420795484785
1201,326.172161569206
3870,328.842341304527
975,255.768351216203
5361,329.264446564131
2517,256.85188655375
2767,332.015338516247
2629,299.361958427035
413,149.433083157081
1061,356.210485259202
2802,336.687954710705
4335,292.939363158836
5901,210.574030168125
4619,295.45162415954
3018,342.04499700852
3600,334.038966544561
2485,220.870874105813
1299,351.947327526587
1285,365.985067627679
1676,342.715266944173
3567,337.087180472749
1438,348.196621341548
1186,295.936830581709
4904,318.305915957211
4350,349.146231578662
1348,337.049401307857
3144,352.171336995522
2776,314.339123319905
2313,329.013049042228
535,347.660986725432
2224,317.754249697142
942,331.239505702983
890,340.797594930395
1040,334.253742357931
5403,344.750783021353
347,217.730666031391
1863,354.844744306171
1353,355.910441639899
3663,96.5164006478086
1594,335.254394494964
1437,356.929891414624
5293,368.420545606908
5071,346.873653734422
2734,200.156766456039
573,333.073669607722
3315,373.00173857298
1239,320.445701376697
5782,288.298293008204
2875,317.59563273389
2898,350.876867163943
5982,199.902612272083
4246,276.121380316916
2497,352.534051181691
4940,347.100774144643
3464,342.266409112738
2873,356.270048616433
3742,315.323199440327
2924,168.182689156291
3929,361.281223912826
4838,205.765943245294
5526,320.678952301992
5906,291.960885464014
2843,121.210870399651
5873,355.096386711829
952,347.101551985048
3874,212.552542298599
4210,339.094935273178
3050,299.998689897776
4729,283.148905973557
1451,347.46654161461
2797,96.3901654124296
1693,340.805716150063
1641,379.506629365285
2965,367.67103160013
3827,348.494508319641
4385,304.156517847864
1085,381.287211296082
2751,81.1491493718592
5050,370.445822835186
4021,317.385698072295
2400,196.906820206332
2669,326.136380232772
5157,325.794134141984
4899,293.246775230052
1556,219.517980034675
4919,347.089054361867
1443,339.931597353972
5903,342.460632010427
1848,347.133505712334
2876,333.407820288187
